pair,row_id,src_lemma,tgt_lemma,y_src_log1p,y_tgt_log1p,y_asym,meaning_conflicts,grammatical_conflicts,top_shap_features,top_shap_values
EN<->ES,99,direction,orientación,9.991868477376402,4.221641867407438,5.770226609968963,True,gender_number_forms,"['num__diff_sessions', 'cat__semantic_field_feeling', 'cat__semantic_field_attribute']","[0.4119161069393158, 0.3825443685054779, -0.37994346022605896]"
EN<->ES,97,chemistry,química,10.029370616021914,4.539624982315645,5.48974563370627,False,no_conflicts,"['num__src_session_count', 'num__diff_sessions', 'cat__semantic_field_time']","[0.9027078747749329, 0.65662682056427, -0.5500668287277222]"
EN<->ES,179,spirit,espíritu,11.311913718558369,5.85023394866027,5.461679769898099,False,no_conflicts,"['num__src_session_count', 'num__diff_sessions', 'cat__semantic_field_time']","[1.0836660861968994, 0.9538567662239075, -0.5287091732025146]"
EN<->ES,196,entrance,entrada,10.92409604825816,5.95516788893606,4.9689281593221,True,gender_number_forms,"['cat__semantic_field_time', 'cat__semantic_field_feeling', 'num__diff_sessions']","[-0.5919864773750305, 0.48555517196655273, 0.4754498302936554]"
EN<->ES,18,stop,detener,8.916146246994742,4.43592525225767,4.480220994737072,False,verb_forms,"['num__diff_sessions', 'cat__semantic_field_attribute', 'cat__semantic_field_feeling']","[-1.0862219333648682, -0.578715443611145, 0.5320882797241211]"
EN<->ES,38,thought,pensamiento,14.337591947261398,9.885759812815165,4.451832134446233,True,no_conflicts,"['num__src_session_count', 'num__diff_sessions', 'cat__semantic_field_pert']","[0.7834994196891785, 0.6933625340461731, 0.5059147477149963]"
EN<->ES,165,analysis,análisis,10.527907017424534,6.14057053025159,4.387336487172944,False,no_conflicts,"['num__src_session_count', 'num__diff_sessions', 'cat__semantic_field_feeling']","[0.8283155560493469, 0.7205235362052917, 0.4381767511367798]"
EN<->ES,264,pleasure,alegría,11.245039725919003,6.900586473388366,4.344453252530637,True,gender_number_forms,"['num__src_session_count', 'num__diff_sessions', 'cat__semantic_field_event']","[1.096651554107666, 0.7941078543663025, -0.514893651008606]"
EN<->ES,22,poetry,poesía,10.201502085102568,5.905716891286292,4.295785193816276,False,gender_number_forms,"['cat__semantic_field_pert', 'cat__semantic_field_feeling', 'num__tgt_session_count']","[0.5860423445701599, 0.4622463583946228, 0.3704712688922882]"
EN<->ES,125,religious,religioso,9.148278780713504,4.922139652494323,4.226139128219181,False,no_conflicts,"['num__diff_sessions', 'cat__semantic_field_attribute', 'num__tgt_session_count']","[-1.4474694728851318, -0.8843647241592407, -0.38562577962875366]"
EN<->ES,226,thought,idea,14.337591947261398,10.249929519079771,4.087662428181627,True,gender_number_forms,"['num__src_session_count', 'num__diff_sessions', 'cat__semantic_field_pert']","[1.1583510637283325, 0.7840220332145691, 0.6455265283584595]"
EN<->ES,141,discovery,descubrimiento,9.413313717330412,6.137455788355328,3.2758579289750847,False,no_conflicts,"['num__diff_sessions', 'num__src_session_count', 'cat__semantic_field_time']","[0.8580126762390137, 0.6841493844985962, -0.47898975014686584]"
EN<->ES,9,way,camino,9.313560160407661,6.128140513187385,3.185419647220276,True,gender_number_forms,"['cat__semantic_field_attribute', 'num__diff_sessions', 'cat__semantic_field_pert']","[-0.83356773853302, -0.634571373462677, 0.4265751242637634]"
EN<->ES,52,joy,alegría,10.05709165444403,6.900586473388366,3.156505181055663,True,gender_number_forms,"['cat__semantic_field_time', 'cat__semantic_field_pert', 'num__diff_sessions']","[-0.7573398351669312, 0.733040988445282, 0.6896669864654541]"
